Area;Total;0-4y;5-9y;10-14y;15-19y;20-24y;25-29y;30-34y;35-39y;40-44y;45-49y;50-54y;55-59y;60-64y;65-69y;70-74y;75-79y;80-84y;85-89y;90-y
Kustavi;926;27;28;31;22;22;24;37;29;29;50;62;99;95;106;116;76;38;19;16
Kuusamo;14772;581;755;826;772;490;600;692;766;736;736;915;1282;1355;1314;1082;745;601;343;181
Kyyjärvi;1260;51;77;68;61;34;24;42;48;62;54;70;99;127;122;132;78;58;42;11
Kärkölä;4155;134;201;224;210;134;168;171;198;250;252;336;347;343;320;381;230;133;79;44
Kärsämäki;2505;105;146;193;166;86;117;97;122;114;120;141;188;189;199;187;136;108;58;33
Kökar;23;0;0;0;0;2;2;0;2;3;0;3;1;2;2;2;2;1;1;0
Lahti;110470;4397;5249;5663;5885;6215;7168;6517;6546;6491;6028;6853;7271;7109;7786;8572;5548;3814;2144;1214
Laihia;7776;388;583;582;452;199;277;410;523;612;482;452;463;500;534;549;335;192;152;91
Laitila;7750;324;451;464;425;258;352;401;444;450;448;504;544;573;576;566;394;281;182;113
Lapinjärvi;1689;79;68;95;79;55;58;84;106;91;89;119;136;131;135;136;103;53;40;32
Lapinlahti;9161;325;466;569;516;302;344;448;541;473;452;625;692;755;784;782;427;326;206;128
Lappajärvi;2781;102;148;141;123;61;73;130;109;106;121;135;223;271;273;270;210;137;88;60
Lappeenranta;66837;2454;3194;3390;3484;5183;3977;3648;3907;3778;3594;4153;4281;4650;4769;4709;3198;2203;1458;807
Lapua;13813;657;940;881;890;517;567;633;861;831;829;887;899;942;966;977;594;456;289;197
Laukaa;18539;1067;1573;1499;1136;525;694;957;1289;1317;1116;1133;1177;1213;1161;1114;674;475;276;143
Lemi;2881;125;199;182;149;72;108;133;174;179;181;194;232;196;204;218;139;88;64;44
Lemland;71;0;2;2;3;2;1;3;9;4;8;6;7;1;7;7;6;1;1;1
Lempäälä;23115;1365;1873;1942;1533;808;1070;1401;1677;1818;1584;1496;1376;1192;1186;1166;727;480;264;157
Leppävirta;9196;320;410;493;432;239;311;368;437;508;477;651;768;839;828;775;527;409;278;126
Lestijärvi;707;37;33;36;36;20;26;21;31;24;35;30;73;80;67;67;32;25;18;16
Lieksa;10270;251;359;379;363;240;367;355;408;376;467;623;881;1150;1187;1112;726;542;326;158
Lieto;19149;978;1383;1360;1223;567;774;1048;1383;1396;1283;1445;1327;1082;1055;1184;727;487;300;147
Liminka;10143;821;1184;1228;953;293;448;540;773;786;743;518;434;352;330;289;205;117;78;51
Liperi;11773;583;783;792;609;347;522;683;737;783;637;793;866;956;825;764;478;327;185;103
Lohja;42037;1606;2298;2661;2545;1627;1844;1903;2226;2605;2658;3095;3223;3037;3043;3110;2013;1364;771;408
Loimaa;15108;548;699;784;786;560;627;685;769;821;760;937;1092;1237;1268;1316;872;607;416;324
Loppi;7611;285;418;526;480;224;223;298;426;478;461;572;641;570;576;565;380;267;138;83
Loviisa;8171;264;366;442;392;266;331;409;447;502;522;578;679;682;693;695;413;238;158;94
Luhanka;689;11;25;22;23;19;17;18;21;25;34;53;70;61;76;81;47;39;35;12
Lumijoki;2004;144;184;220;181;65;89;82;127;117;102;95;109;113;123;103;56;42;34;18
Lumparland;24;0;1;2;3;1;0;1;4;1;0;1;4;2;2;1;1;0;0;0
Larsmo;306;9;15;10;15;12;10;12;21;16;26;27;39;25;23;28;5;7;2;4
Luumäki;4358;131;184;219;195;111;133;158;181;205;233;303;341;419;423;428;259;206;139;90
Malax;529;19;26;19;16;9;22;36;38;36;28;32;44;50;56;38;25;16;15;4
Mariehamn;565;6;18;14;8;23;27;29;23;46;32;51;50;45;53;64;37;25;10;4
Marttila;1924;84;110;109;86;65;63;84;123;134;115;121;135;149;141;157;115;61;38;34
Masku;9227;464;649;721;610;239;343;478;616;700;694;676;707;552;526;530;337;211;109;65
Merijärvi;1075;87;106;70;78;34;67;52;43;38;39;57;74;66;75;85;34;27;31;12
Merikarvia;3002;124;154;141;150;73;81;98;150;148;128;169;257;253;309;265;180;139;109;74
Miehikkälä;1763;37;57;83;79;41;46;56;60;93;93;146;137;143;178;182;126;104;59;43
Mikkeli;50304;1982;2425;2554;2598;2620;2691;2766;2778;2750;2659;3175;3472;3724;3908;3901;2628;1882;1153;638
Muhos;8776;535;751;771;697;277;395;458;537;590;476;512;583;569;536;411;253;209;127;89
Multia;1535;51;71;90;73;33;42;59;49;72;75;82;124;164;158;132;84;70;76;30
Muonio;2187;86;115;129;108;77;118;104;121;106;125;138;144;175;186;173;129;83;49;21
Korsholm;5551;277;408;442;303;138;221;358;433;453;390;380;367;363;345;290;189;113;53;28
Muurame;10102;536;843;817;663;243;358;612;721;799;700;661;647;583;613;563;355;222;116;50
Mynämäki;7397;315;369;418;393;243;312;326;460;416;416;513;609;546;587;557;380;254;170;113
Myrskylä;1613;54;85;96;63;61;63;77;103;87;85;117;121;121;135;130;98;57;35;25
Mäntsälä;19796;1000;1344;1502;1293;766;838;951;1209;1342;1386;1430;1450;1276;1239;1157;738;445;289;141
Mänttä-Vilppula;9422;278;381;412;438;315;334;336;412;502;512;585;650;837;942;968;572;485;273;190
Mäntyharju;5525;147;221;245;245;155;157;187;228;232;263;328;461;547;582;592;378;291;171;95
Naantali;18613;694;943;1117;1050;557;722;835;949;1159;1202;1442;1467;1473;1493;1468;945;583;317;197
Nakkila;5141;169;284;301;292;190;215;216;279;317;273;373;375;354;366;439;298;217;113;70
Nivala;10394;625;846;873;757;455;503;538;644;558;490;512;538;615;716;645;408;335;210;126
Nokia;33387;1614;2192;2358;1950;1325;1503;1879;2341;2480;2305;2224;2087;2034;1991;2134;1299;815;569;287
Nousiainen;4570;213;317;341;298;125;202;208;316;386;290;304;308;302;321;258;160;95;69;57
Nurmes;9304;272;384;412;432;262;352;396;419;418;415;509;752;903;969;890;594;457;295;173
Nurmijärvi;40537;2048;2811;3106;2908;1732;1906;2043;2415;2814;2979;3203;2975;2353;2144;2104;1432;902;455;207
Närpes;507;13;20;19;14;14;14;19;28;27;37;26;45;54;48;63;32;21;5;8
Orimattila;15307;678;879;954;869;514;634;687;871;968;965;1032;1146;1093;1128;1173;699;533;274;210
Oripää;1231;51;65;82;82;54;54;40;65;66;74;71;73;87;103;88;61;45;39;31
Orivesi;8850;323;463;503;451;254;306;407;477;502;461;611;664;736;668;804;478;356;239;147
Oulainen;7037;315;430;490;474;269;311;309;374;370;357;368;459;546;528;515;340;257;205;120
Oulu;197312;9736;11930;12630;12742;16749;15859;13020;13140;13093;11247;11108;11308;10737;10356;9521;6095;4101;2561;1379
Outokumpu;6298;202;321;337;284;263;231;286;334;306;278;352;399;566;647;597;375;271;164;85
Padasjoki;2807;73;85;122;124;60;82;69;116;111;126;168;230;267;307;326;223;160;100;58
Paimio;10480;584;719;697;601;337;462;584;747;734;642;663;659;651;677;732;441;265;176;109
Paltamo;3199;95;134;165;155;90;112;113;152;143;131;205;288;317;333;288;203;142;86;47
Pargas;6286;174;310;356;331;188;190;249;348;426;451;535;542;527;520;525;309;186;75;44
Parikkala;4541;136;163;160;140;90;126;146;168;166;205;311;412;430;498;536;340;282;142;90
Parkano;6212;240;278;322;312;222;267;246;307;288;278;377;448;518;583;589;411;266;162;98
Pedersöre;946;51;52;72;47;34;46;38;57;64;62;59;73;74;59;82;43;19;10;4
Pelkosenniemi;917;28;31;27;18;10;29;36;45;55;42;61;73;118;106;100;56;38;32;12
Pello;3249;85;116;97;127;73;105;108;128;98;116;181;302;365;389;365;216;176;142;60
Perho;2672;190;238;256;198;105;104;116;152;135;92;108;144;172;189;198;116;71;56;32
Pertunmaa;1618;39;51;75;71;41;33;39;55;87;90;93;140;166;169;170;119;88;54;38
Petäjävesi;3706;164;248;292;209;108;127;161;236;245;188;268;280;254;256;276;174;117;65;38
Pieksämäki;16864;521;700;744;775;579;646;758;812;755;788;1027;1446;1599;1670;1500;1015;759;518;252
Pielavesi;4237;146;179;247;201;106;125;134;171;175;158;262;322;396;439;441;283;214;154;84
Jakobstad;6474;211;273;324;344;241;272;264;317;328;379;477;535;483;492;582;401;305;162;84
Pihtipudas;3895;130;179;248;216;114;136;141;175;195;188;266;290;337;337;320;233;199;129;62
Pirkkala;18977;1019;1407;1360;1205;739;916;1149;1409;1419;1320;1270;1191;1019;936;1061;765;444;239;109
Polvijärvi;4157;174;182;197;167;94;140;200;199;195;207;240;345;398;450;390;226;187;105;61
Pomarkku;2040;68;115;117;115;51;53;87;109;106;105;137;139;183;175;163;120;101;64;32
Pori;80127;3100;3853;4143;4171;4623;4760;4566;4705;4419;4156;5077;5487;5337;5684;6105;4079;2996;1843;1023
Pornainen;4785;233;328;393;388;161;197;220;289;328;355;382;369;326;272;232;139;82;56;35
Porvoo;32388;1312;1873;2093;2032;1465;1629;1683;1929;2304;2308;2374;2433;2175;2056;2105;1238;757;420;202
Posio;3069;62;89;106;117;61;69;82;92;100;155;214;312;334;378;369;229;165;98;37
Pudasjärvi;7582;277;431;427;397;203;253;309;327;301;332;479;612;718;730;642;434;371;223;116
Pukkila;1765;65;105;111;99;68;64;66;86;88;133;156;159;138;106;121;87;61;34;18
Punkalaidun;2719;95;103;138;127;86;87;89;113;123;153;171;210;221;264;232;183;139;105;80
Puolanka;2445;56;74;93;80;66;65;66;87;82;109;174;221;296;283;254;190;129;77;43
Puumala;2091;30;45;68;80;51;56;68;76;61;92;135;160;241;264;279;158;102;66;59
Pyhtää;4568;181;286;279;227;94;151;199;298;329;267;336;356;362;344;364;218;142;80;55
Pyhäjoki;2951;132;181;199;171;85;100;143;144;185;147;183;192;197;225;283;150;105;74;55
Pyhäjärvi;4966;200;252;254;228;148;162;199;214;226;205;278;389;428;476;484;323;241;162;97
Pyhäntä;1552;97;125;118;110;69;68;72;77;74;61;68;100;140;128;94;60;54;23;14
Pyhäranta;1944;84;112;98;93;52;67;86;119;100;104;144;170;137;170;165;97;72;53;21
Pälkäne;6221;244;295;365;332;173;211;261;310;343;345;438;512;519;488;537;337;267;158;86
Pöytyä;7846;345;508;516;457;265;306;394;420;483;424;535;561;543;592;572;379;275;170;101
Raahe;23598;1084;1518;1659;1474;995;997;1054;1381;1386;1342;1430;1355;1649;1912;1831;1158;696;446;231
Raasepori;8476;257;380;436;425;291;330;385;463;528;572;648;722;730;728;669;420;269;146;77
Raisio;21851;923;1137;1152;1172;855;1160;1191;1267;1378;1282;1539;1715;1550;1565;1538;963;766;458;240
Rantasalmi;3246;102;138;127;146;75;105;124;111;139;161;217;297;323;342;323;201;155;98;62
Ranua;3672;139;225;280;226;126;132;131;136;164;149;205;300;361;327;316;169;156;89;41
Rauma;36239;1402;1756;1942;1847;1875;1927;1862;1975;2171;2023;2296;2506;2524;2776;2818;1849;1348;857;485
Rautalampi;2976;78;113;162;162;77;75;108;138;128;153;184;245;258;298;309;195;153;94;46
Rautavaara;1543;33;51;73;62;29;37;71;53;42;70;97;161;157;168;153;99;104;59;24
Rautjärvi;3063;66;96;117;101;83;76;87;104;122;165;193;291;315;356;328;217;161;116;69
Reisjärvi;2698;150;173;184;183;113;112;134;129;124;115;171;182;188;209;175;151;97;56;52
Riihimäki;27076;1062;1416;1661;1614;1386;1541;1456;1607;1663;1618;1832;1896;1901;1857;1837;1147;795;476;311
Ristijärvi;1218;38;40;46;41;14;51;38;51;48;38;67;123;149;119;131;82;52;45;45
Rovaniemi;60953;2885;3494;3550;3386;4465;4406;4148;4063;3461;2887;3334;4116;4239;3868;3443;2035;1652;1030;491
Ruokolahti;4755;127;204;254;193;82;103;183;188;251;281;339;408;435;470;454;295;239;165;84
Ruovesi;4146;113;149;196;204;115;106;129;180;174;222;275;324;371;407;429;286;219;162;85
Rusko;6090;367;457;393;370;168;210;335;445;476;384;474;417;366;363;353;215;153;91;53
Rääkkylä;1993;33;68;63;66;29;45;56;64;95;95;130;181;226;246;236;155;95;66;44
Saarijärvi;9087;334;429;496;459;254;316;340;427;405;459;567;749;828;888;786;500;447;246;157
Salla;3326;58;101;128;114;77;103;92;132;150;145;176;333;387;386;348;190;206;129;71
Salo;47621;1544;2192;2776;2714;1721;1893;2104;2452;2853;2926;3491;3511;3519;3808;3940;2588;1835;1102;652
Saltvik;67;2;3;2;0;0;3;1;2;7;8;4;9;3;5;10;6;2;0;0
Sastamala;23367;857;1155;1315;1250;814;887;1054;1218;1253;1252;1570;1715;1810;1984;1915;1267;998;643;410
Sauvo;2781;98;154;165;151;65;79;118;165;148;184;219;238;215;250;234;132;83;50;33
Savitaipale;3274;86;125;152;136;68;94;113;124;128;174;198;281;296;298;323;232;204;157;85
Savonlinna;31359;895;1248;1471;1635;1266;1213;1347;1496;1458;1537;2064;2420;2763;2906;2871;1979;1388;915;487
Savukoski;998;33;37;30;43;24;33;43;43;42;44;72;103;121;95;86;70;38;31;10
Seinäjoki;62144;3167;3824;3668;3731;4213;4470;4058;4132;3726;3275;3501;3727;3691;3759;3637;2296;1685;959;625
Sievi;4750;298;413;489;399;207;199;205;259;257;252;265;267;274;287;256;169;125;65;64
Siikainen;1366;36;62;58;63;34;29;41;51;57;73;108;110;132;137;134;93;71;53;24
Siikajoki;4955;262;378;413;326;159;172;212;312;267;239;263;322;390;418;348;196;125;89;64
Siikalatva;5159;206;273;310;258;165;175;214;260;246;241;360;398;424;440;407;274;277;144;87
Siilinjärvi;20921;1067;1508;1505;1280;691;871;1190;1447;1340;1240;1425;1458;1388;1328;1271;845;603;314;150
Simo;2921;83;139;173;166;57;88;110;144;143;137;161;254;246;310;283;187;136;63;41
Sipoo;13945;686;858;991;906;661;680;693;865;1134;1109;1254;1173;879;637;619;364;230;138;68
Siuntio;4062;163;200;308;273;141;156;170;238;347;343;401;334;282;243;244;118;67;23;11
Sodankylä;7982;276;398;375;319;281;409;463;449;368;356;535;731;739;662;678;363;326;175;79
Soini;1980;80;133;97;101;75;64;93;85;77;69;138;174;152;178;155;118;99;62;30
Somero;8290;273;394;421;440;266;302;317;398;397;429;571;620;668;718;712;507;434;247;176
