"","date","BTC","SP500"
"358","2014-07-22",621.690002,1983.530029
"359","2014-07-23",601.869995,1987.01001
"360","2014-07-24",600.5,1987.97998
"361","2014-07-25",596,1978.339966
"362","2014-07-28",585.77002,1978.910034
"363","2014-07-29",564.640015,1969.949951
"364","2014-07-30",589.52002,1970.069946
"365","2014-07-31",598.780029,1930.670044
"366","2014-08-01",591.719971,1925.150024
"367","2014-08-04",588.76001,1938.98999
"368","2014-08-05",589.77002,1920.209961
"369","2014-08-06",592.799988,1920.23999
"370","2014-08-07",595.849976,1909.569946
"371","2014-08-08",589.52002,1931.589966
"372","2014-08-11",567.659973,1936.920044
"373","2014-08-12",542.099976,1933.75
"374","2014-08-13",504.799988,1946.719971
"375","2014-08-14",496.450012,1955.180054
"376","2014-08-15",522.01001,1955.060059
"377","2014-08-18",485.119995,1971.73999
"378","2014-08-19",516.780029,1981.599976
"379","2014-08-20",517.940002,1986.51001
"380","2014-08-21",516.099976,1992.369995
"381","2014-08-22",497.679993,1988.400024
"382","2014-08-25",512.559998,1997.920044
"383","2014-08-26",515.22998,2000.02002
"384","2014-08-27",510.75,2000.119995
"385","2014-08-28",512.559998,1996.73999
"386","2014-08-29",505.959991,2003.369995
"387","2014-09-02",480.040009,2002.280029
"388","2014-09-03",490.98999,2000.719971
"389","2014-09-04",483.649994,1997.650024
"390","2014-09-05",484.470001,2007.709961
"391","2014-09-08",474.899994,2001.540039
"392","2014-09-09",479.700012,1988.439941
"393","2014-09-10",478.48999,1995.689941
"394","2014-09-11",477.730011,1997.449951
"395","2014-09-12",478.170013,1985.540039
"396","2014-09-15",466.75,1984.130005
"397","2014-09-16",461.089996,1998.97998
"398","2014-09-17",424.26001,2001.569946
"399","2014-09-18",397.670013,2011.359985
"400","2014-09-19",411.529999,2010.400024
"401","2014-09-22",436.859985,1994.290039
"402","2014-09-23",423.769989,1982.77002
"403","2014-09-24",412.290009,1998.300049
"404","2014-09-25",404.459991,1965.98999
"405","2014-09-26",399.019989,1982.849976
"406","2014-09-29",388.170013,1977.800049
"407","2014-09-30",382.839996,1972.290039
"408","2014-10-01",375.140015,1946.160034
"409","2014-10-02",363.450012,1946.170044
"410","2014-10-03",335.320007,1967.900024
"411","2014-10-06",331.649994,1964.819946
"412","2014-10-07",350.869995,1935.099976
"413","2014-10-08",360.910004,1968.890015
"414","2014-10-09",361.709991,1928.209961
"415","2014-10-10",361.220001,1906.130005
"416","2014-10-13",397.100006,1874.73999
"417","2014-10-14",393.170013,1877.699951
"418","2014-10-15",379.769989,1862.48999
"419","2014-10-16",380.480011,1862.76001
"420","2014-10-17",390.880005,1886.76001
"421","2014-10-20",382.350006,1904.01001
"422","2014-10-21",378.929993,1941.280029
"423","2014-10-22",355.779999,1927.109985
"424","2014-10-23",355.100006,1950.819946
"425","2014-10-24",346.720001,1964.579956
"426","2014-10-27",350.089996,1961.630005
"427","2014-10-28",351.059998,1985.050049
"428","2014-10-29",335.119995,1982.300049
"429","2014-10-30",344.859985,1994.650024
"430","2014-10-31",337.869995,2018.050049
"431","2014-11-03",324.23999,2017.810059
"432","2014-11-04",327.959991,2012.099976
"433","2014-11-05",338.01001,2023.569946
"434","2014-11-06",347.670013,2031.209961
"435","2014-11-07",341.869995,2031.920044
"436","2014-11-10",367.149994,2038.26001
"437","2014-11-11",365.420013,2039.680054
"438","2014-11-12",432.029999,2038.25
"439","2014-11-13",428.720001,2039.329956
"440","2014-11-14",396.529999,2039.819946
"441","2014-11-17",384.690002,2041.319946
"442","2014-11-18",379.160004,2051.800049
"443","2014-11-19",381.429993,2048.719971
"444","2014-11-20",357.299988,2052.75
"445","2014-11-21",351.769989,2063.5
"446","2014-11-24",378.850006,2069.409912
"447","2014-11-25",376.429993,2067.030029
"448","2014-11-26",365.350006,2072.830078
"449","2014-11-28",377.589996,2067.560059
"450","2014-12-01",378.609985,2053.439941
"451","2014-12-02",380.640015,2066.550049
"452","2014-12-03",376.959991,2074.330078
"453","2014-12-04",369.839996,2071.919922
"454","2014-12-05",377.630005,2075.370117
"455","2014-12-08",364.950012,2060.310059
"456","2014-12-09",352.190002,2059.820068
"457","2014-12-10",347.940002,2026.140015
"458","2014-12-11",347.679993,2035.329956
"459","2014-12-12",353.399994,2002.329956
"460","2014-12-15",345.369995,1989.630005
"461","2014-12-16",330.220001,1972.73999
"462","2014-12-17",320.019989,2012.890015
"463","2014-12-18",310.339996,2061.22998
"464","2014-12-19",317.779999,2070.649902
"465","2014-12-22",330.839996,2078.540039
"466","2014-12-23",335.25,2082.169922
"467","2014-12-24",322.399994,2081.879883
"468","2014-12-26",329.980011,2088.77002
"469","2014-12-29",314.119995,2090.570068
"470","2014-12-30",311.269989,2080.350098
"471","2014-12-31",318.23999,2058.899902
"472","2015-01-02",315.209991,2058.199951
"473","2015-01-05",274.839996,2020.579956
"474","2015-01-06",282.269989,2002.609985
"475","2015-01-07",291.339996,2025.900024
"476","2015-01-08",282.690002,2062.139893
"477","2015-01-09",287.970001,2044.810059
"478","2015-01-12",269.329987,2028.26001
"479","2015-01-13",221.289993,2023.030029
"480","2015-01-14",164.919998,2011.27002
"481","2015-01-15",209.779999,1992.670044
"482","2015-01-16",206.919998,2019.420044
"483","2015-01-20",210.550003,2022.550049
"484","2015-01-21",228.169998,2032.119995
"485","2015-01-22",232.699997,2063.149902
"486","2015-01-23",232.169998,2051.820068
"487","2015-01-26",269.179993,2057.090088
"488","2015-01-27",263.269989,2029.550049
"489","2015-01-28",236.169998,2002.160034
"490","2015-01-29",233.990005,2021.25
"491","2015-01-30",231.839996,1994.98999
"492","2015-02-02",238.860001,2020.849976
"493","2015-02-03",227.410004,2050.030029
"494","2015-02-04",226.580002,2041.51001
"495","2015-02-05",216.520004,2062.52002
"496","2015-02-06",222.960007,2055.469971
"497","2015-02-09",220.339996,2046.73999
"498","2015-02-10",219.669998,2068.590088
"499","2015-02-11",218.830002,2068.530029
"500","2015-02-12",221.789993,2088.47998
"501","2015-02-13",236.169998,2096.98999
"502","2015-02-17",243.199997,2100.340088
"503","2015-02-18",235.199997,2099.679932
"504","2015-02-19",241.919998,2097.449951
"505","2015-02-20",244.520004,2110.300049
"506","2015-02-23",238.820007,2109.659912
"507","2015-02-24",238.889999,2115.47998
"508","2015-02-25",237.330002,2113.860107
"509","2015-02-26",236.529999,2110.73999
"510","2015-02-27",253.470001,2104.5
"511","2015-03-02",273.75,2117.389893
"512","2015-03-03",280.649994,2107.780029
"513","2015-03-04",271.920013,2098.530029
"514","2015-03-05",275.230011,2101.040039
"515","2015-03-06",272.559998,2071.26001
"516","2015-03-09",290.019989,2079.429932
"517","2015-03-10",291.369995,2044.160034
"518","2015-03-11",295.600006,2040.23999
"519","2015-03-12",293.850006,2065.949951
"520","2015-03-13",287.209991,2053.399902
"521","2015-03-16",290.410004,2081.189941
"522","2015-03-17",285.380005,2074.280029
"523","2015-03-18",255.919998,2099.5
"524","2015-03-19",260.929993,2089.27002
"525","2015-03-20",261.779999,2108.100098
"526","2015-03-23",265.459991,2104.419922
"527","2015-03-24",246.720001,2091.5
"528","2015-03-25",246.369995,2061.050049
"529","2015-03-26",248.020004,2056.149902
"530","2015-03-27",247.210007,2061.02002
"531","2015-03-30",244.149994,2086.23999
"532","2015-03-31",246.240005,2067.889893
"533","2015-04-01",252.600006,2059.689941
"534","2015-04-02",254.479996,2066.959961
"535","2015-04-06",252.970001,2080.620117
"536","2015-04-07",244.570007,2076.330078
"537","2015-04-08",243.320007,2081.899902
"538","2015-04-09",234.729996,2091.179932
"539","2015-04-10",236.479996,2102.060059
"540","2015-04-13",217.990005,2092.429932
"541","2015-04-14",222.970001,2095.840088
"542","2015-04-15",227.979996,2106.629883
"543","2015-04-16",222.589996,2104.98999
"544","2015-04-17",223.350006,2081.179932
"545","2015-04-20",233.729996,2100.399902
"546","2015-04-21",233.779999,2097.290039
"547","2015-04-22",235.399994,2107.959961
"548","2015-04-23",231.089996,2112.929932
"549","2015-04-24",226.139999,2117.689941
"550","2015-04-27",225.809998,2108.919922
"551","2015-04-28",225.419998,2114.76001
"552","2015-04-29",235.770004,2106.850098
"553","2015-04-30",233.210007,2085.51001
"554","2015-05-01",235.339996,2108.290039
"555","2015-05-04",235.820007,2114.48999
"556","2015-05-05",230.029999,2089.459961
"557","2015-05-06",237.729996,2080.149902
"558","2015-05-07",243.740005,2088
"559","2015-05-08",241.399994,2116.100098
"560","2015-05-11",241.580002,2105.330078
"561","2015-05-12",236.380005,2099.120117
"562","2015-05-13",236.899994,2098.47998
"563","2015-05-14",237.199997,2121.100098
"564","2015-05-15",236.229996,2122.72998
"565","2015-05-18",232.020004,2129.199951
"566","2015-05-19",233.960007,2127.830078
"567","2015-05-20",235.380005,2125.850098
"568","2015-05-21",240.369995,2130.820068
"569","2015-05-22",238.940002,2126.060059
"570","2015-05-26",237.289993,2104.199951
"571","2015-05-27",237.320007,2123.47998
"572","2015-05-28",237.029999,2120.790039
"573","2015-05-29",233.220001,2107.389893
"574","2015-06-01",225.740005,2111.72998
"575","2015-06-02",225.589996,2109.600098
"576","2015-06-03",224.220001,2114.070068
"577","2015-06-04",225.289993,2095.840088
"578","2015-06-05",224.740005,2092.830078
"579","2015-06-08",229.559998,2079.280029
"580","2015-06-09",228.789993,2080.149902
"581","2015-06-10",229.880005,2105.199951
"582","2015-06-11",230.460007,2108.860107
"583","2015-06-12",232.479996,2094.110107
"584","2015-06-15",249.820007,2084.429932
"585","2015-06-16",247.380005,2096.290039
"586","2015-06-17",248.440002,2100.439941
